Source	Year	Issue	Name	Con	Dept	Author	Lang	Type	ciphertext	cribs, clues, notes	plaintext						
Russ Atkinson	1974	4	JA74	A01	A	SWABBY	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A02	A	BaRGe	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A03	A	MESCEYEV	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A04	A	SKIDS	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A05	A	CHI VALOR	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A06	A	ARCANUM	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A07	A	STEVE	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A08	A	FLORDELIS	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A09	A	DUN SCOTUS	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A10	A	LE CRAPAUD	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A11	A	YO TAMBIEN	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A12	A	JE SAURAIS	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A13	A	TEE PEE	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A14	A	POP SICKLE	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A15	A	RIG R. MORTIS	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A16	A	BRASSPOUNDER	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A17	A	JEETC	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A18	A	D. STRASSE	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A19	A	MEROMA	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A20	A	LOGONE BASETEN	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A21	A	ALCHEMYST	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A22	A	CODEX	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A23	A	PETROUSHKA	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A24	A	B. NATURAL	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	A25	A	D D TRANSITION	Eng	Aristocrat									
Russ Atkinson	1974	4	JA74	AC093	S	LEGERDEMAINIST	Eng	Porta Autokey									
Russ Atkinson	1974	4	JA74	AC094	S	ISLANDER	Eng	Playfair									
Russ Atkinson	1974	4	JA74	AC095	S	JE SAURAIS	Eng	Quagmire IV									
Russ Atkinson	1974	4	JA74	C01	C	JE SAURAIS	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C02	C	CROTALUS	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C03	C	YO TAMBIEN	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C04	C	NEON	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C05	C	ABACUS	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C06	C	AQUARIUS	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C07	C	D. STRASSE	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C08	C	W.	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C09	C	DENDAI [DICK]	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	C10	C	ZER-O	Eng	Cryptarithm									
Russ Atkinson	1974	4	JA74	E01	E	VAYISS MIR	Eng	Railfence									
Russ Atkinson	1974	4	JA74	E02	E	MARSHEN	Eng	Morbit									
Russ Atkinson	1974	4	JA74	E03	E	POP SICKLE	Eng	Route Tramp									
Russ Atkinson	1974	4	JA74	E04	E	OCTOPUS	Eng	CC Tramp									
Russ Atkinson	1974	4	JA74	E05	E	RIG R. MORTIS	Eng	Key Phrase									
Russ Atkinson	1974	4	JA74	E06	E	HAYDN	Eng	Porta									
Russ Atkinson	1974	4	JA74	E07	E	CHUCK	Eng	Gronsfeld									
Russ Atkinson	1974	4	JA74	E08	E	ARCANUM	Eng	Nihilist Subst									
Russ Atkinson	1974	4	JA74	E09	E	AHAB	Eng	Grille									
Russ Atkinson	1974	4	JA74	E10	E	D. STRASSE	Eng	Amsco									
Russ Atkinson	1974	4	JA74	E11	E	NEON	Eng	Bifid									
Russ Atkinson	1974	4	JA74	E12	E	BERT	Eng	Phillips									
Russ Atkinson	1974	4	JA74	E13	E	MAJOR HOOPLE	Eng	Frac Morse									
Russ Atkinson	1974	4	JA74	E14	E	CODEX	Eng	Ragbaby									
Russ Atkinson	1974	4	JA74	E15	E	HILARY	Eng	Playfair									
Russ Atkinson	1974	4	JA74	E16	E	B. NATURAL	Eng	Var Nicodemus									
Russ Atkinson	1974	4	JA74	E17	E	SUNNY	Eng	Quagmire II									
Russ Atkinson	1974	4	JA74	E18	E	TEE PEE	Eng	Myszkowski									
Russ Atkinson	1974	4	JA74	E19	E	JE SAURAIS	Eng	Gromark									
Russ Atkinson	1974	4	JA74	E20	E	GHOST	Eng	Two-square									
Russ Atkinson	1974	4	JA74	E21	E	KSEA	Eng	Twin Bifids									
Russ Atkinson	1974	4	JA74	E22	E	YUM-YUM	Eng	Trifid									
Russ Atkinson	1974	4	JA74	E23	E	MACHIAVELLI	Eng	Quagmire III									
Russ Atkinson	1974	4	JA74	E24	E	D D TRANSITION	Eng	Quagmire IV									
Russ Atkinson	1974	4	JA74	E25	E	DENDAI [DICK]	Eng	Tri-square									
Russ Atkinson	1974	4	JA74	ESP	S	ZER-O	Eng	Conj Mat Bifid									
Russ Atkinson	1974	4	JA74	NG1	S	HAYDN	Eng	Num Givierge									
Russ Atkinson	1974	4	JA74	NG2	S	HAYDN	Eng	Num Givierge									
Russ Atkinson	1974	4	JA74	NG3	S	HAYDN	Eng	Num Givierge									
Russ Atkinson	1974	4	JA74	NN1	S	LEDGE	Eng	Slidefair									
Russ Atkinson	1974	4	JA74	NN2	S	LEDGE	Eng	Slidefair									
Russ Atkinson	1974	4	JA74	NN3	S	LEDGE	Eng	Slidefair									
Russ Atkinson	1974	4	JA74	P01	P	LEGERDEMAINIST	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P02	P	NEONA	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P03	P	FIDDLE	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P04	P	CHI VALOR	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P05	P	DOT	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P06	P	SKIDS	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P07	P	MESCEYEV	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P08	P	KOSHKA	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P09	P	JULIAN	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	P10	P	CODEX	Eng	Patristocrat									
Russ Atkinson	1974	4	JA74	X01	X	THE PRO	Ger	Aristocrat									
Russ Atkinson	1974	4	JA74	X02	X	RABID	Spa	Aristocrat									
Russ Atkinson	1974	4	JA74	X03	X	THE HAWK	Lat	Aristocrat									
Russ Atkinson	1974	4	JA74	X04	X	MERC	Por	Aristocrat									
Russ Atkinson	1974	4	JA74	X05	X	CODEX	Lat	Aristocrat									
Russ Atkinson	1974	4	JA74	X06	X	YUM-YUM	Fre	Aristocrat									
Russ Atkinson	1974	4	JA74	X07	X	MACHIAVELLI	Dut	Aristocrat									
Russ Atkinson	1974	4	JA74	X08	X	BaRGe	Esp	Aristocrat									
Russ Atkinson	1974	4	JA74	X09	X	THE SPIV	Spa	Aristocrat									
Russ Atkinson	1974	4	JA74	X10	X	D. STRASSE	Ger	Aristocrat									
Russ Atkinson	1974	4	JA74	X11	X	ROGUE	Ita	Aristocrat									
Russ Atkinson	1974	4	JA74	X12	X	ARCANUM	Fre	Aristocrat									
Russ Atkinson	1974	4	JA74	XS1	S	DENDAI [DICK]	Dut	Quagmire IV									
Russ Atkinson	1974	4	JA74	XS2	S	DOUBLE DENDAI	Rom	Aristocrat									
Russ Atkinson	1974	1	JF74	A01	A	SUNNY	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A02	A	ZER-O	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A03	A	YUM-YUM	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A04	A	CURLY	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A05	A	SWABBY	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A06	A	THE MIKADO	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A07	A	OMEGA	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A08	A	REKROYWEN	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A09	A	PI	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A10	A	ALOHA	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A11	A	DUN SCOTUS	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A12	A	BRASSPOUNDER	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A13	A	ARCANUM	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A14	A	JOSHUA	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A15	A	JULIAN	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A16	A	LEGERDEMAINIST	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A17	A	LOGONE BASETEN	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A18	A	CODEX	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A19	A	MACHIAVELLI	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A20	A	DENDAI [DICK]	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A21	A	BUBBLES	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A22	A	D. STRASSE	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A23	A	HAYDN	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A24	A	PETROUSHKA	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	A25	A	D D TRANSITION	Eng	Aristocrat									
Russ Atkinson	1974	1	JF74	AC084	S	D D TRANSITION	Eng	Frac Morse									
Russ Atkinson	1974	1	JF74	AC085	S	B. NATURAL	Eng	UNKNOWN									
Russ Atkinson	1974	1	JF74	AC086	S	X. ACT	Eng	Quagmire ?									
Russ Atkinson	1974	1	JF74	C01	C	YUM-YUM	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C02	C	ARCANUM	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C03	C	POP SICKLE	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C04	C	NEON	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C05	C	BANANA BOAT	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C06	C	DENDAI [DICK]	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C07	C	JE SAURAIS	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C08	C	D. STRASSE	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C09	C	W.	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	C10	C	HUBBUBER	Eng	Cryptarithm									
Russ Atkinson	1974	1	JF74	E01	E	CHUCK	Eng	Railfence									
Russ Atkinson	1974	1	JF74	E02	E	KSEA	Eng	Homophonic									
Russ Atkinson	1974	1	JF74	E03	E	TAFFY	Eng	Key Phrase									
Russ Atkinson	1974	1	JF74	E04	E	OCTOPUS	Eng	Checkerboard									
Russ Atkinson	1974	1	JF74	E05	E	SEA BREEZE	Eng	Nihilist Tramp									
Russ Atkinson	1974	1	JF74	E06	E	FIDDLE	Eng	Vigenere									
Russ Atkinson	1974	1	JF74	E07	E	YUM-YUM	Eng	IC Tramp									
Russ Atkinson	1974	1	JF74	E08	E	ARCANUM	Eng	Amsco									
Russ Atkinson	1974	1	JF74	E09	E	JULIAN	Eng	Foursquare									
Russ Atkinson	1974	1	JF74	E10	E	B. NATURAL	Eng	Slidefair									
Russ Atkinson	1974	1	JF74	E11	E	D. STRASSE	Eng	Portax									
Russ Atkinson	1974	1	JF74	E12	E	NEONA	Eng	Ragbaby									
Russ Atkinson	1974	1	JF74	E13	E	NEON	Eng	Bifid									
Russ Atkinson	1974	1	JF74	E14	E	SKIDS	Eng	Playfair									
Russ Atkinson	1974	1	JF74	E15	E	HILARY	Eng	Quagmire II									
Russ Atkinson	1974	1	JF74	E16	E	RIG R. MORTIS	Eng	Myszkowski									
Russ Atkinson	1974	1	JF74	E17	E	MI TAI TAI	Eng	Phillips									
Russ Atkinson	1974	1	JF74	E18	E	MACHIAVELLI	Eng	Grandpre									
Russ Atkinson	1974	1	JF74	E19	E	MARSHEN	Eng	Ser Playfair									
Russ Atkinson	1974	1	JF74	E20	E	GHOST	Eng	Playfair									
Russ Atkinson	1974	1	JF74	E21	E	JOSHUA	Eng	Quagmire III									
Russ Atkinson	1974	1	JF74	E22	E	ISLANDER	Eng	6x6 Bifid									
Russ Atkinson	1974	1	JF74	E23	E	D D TRANSITION	Eng	Quagmire IV-m									
Russ Atkinson	1974	1	JF74	E24	E	ZER-O	Eng	Tri-square									
Russ Atkinson	1974	1	JF74	E25	E	DENDAI [DICK]	Eng	Trifid									
Russ Atkinson	1974	1	JF74	ESP	S	B. NATURAL	Eng	Frac Morse Trif									
Russ Atkinson	1974	1	JF74	NN	S	LEDGE	Eng	Quagmire IV									
Russ Atkinson	1974	1	JF74	P01	P	CHI VALOR	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P02	P	NEON	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P03	P	HI-FI	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P04	P	OCTOPUS	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P05	P	FIDDLE	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P06	P	DENDAI [DICK]	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P07	P	JULIAN	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P08	P	KOSHKA	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P09	P	MARSHEN	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	P10	P	PETROUSHKA	Eng	Patristocrat									
Russ Atkinson	1974	1	JF74	X01	X	GALUPOLY	Fre	Aristocrat									
Russ Atkinson	1974	1	JF74	X02	X	TAFFY	Ger	Aristocrat									
Russ Atkinson	1974	1	JF74	X03	X	THE PRO	Ita	Aristocrat									
Russ Atkinson	1974	1	JF74	X04	X	FIDDLE	Lat	Aristocrat									
Russ Atkinson	1974	1	JF74	X05	X	RABID	Esp	Aristocrat									
Russ Atkinson	1974	1	JF74	X06	X	D. STRASSE	Por	Aristocrat									
Russ Atkinson	1974	1	JF74	X07	X	BaRGe	Ita	Aristocrat									
Russ Atkinson	1974	1	JF74	X08	X	COBA	Dut	Aristocrat									
Russ Atkinson	1974	1	JF74	X09	X	THE SPIV	Spa	Aristocrat									
Russ Atkinson	1974	1	JF74	X10	X	ZER-O	Ger	Aristocrat									
Russ Atkinson	1974	1	JF74	X11	X	YUM-YUM	Fre	Aristocrat									
Russ Atkinson	1974	1	JF74	X12	X	MACHIAVELLI	Lat	Aristocrat									
Russ Atkinson	1974	1	JF74	XS1	S	DOUBLE DENDAI	PME	Ragbaby									
Russ Atkinson	1974	1	JF74	XS2	S	DOUBLE DENDAI	PME	Aristocrat									
Russ Atkinson	1974	1	JF74	XS3	S	DOUBLE DENDAI	PME	Patristocrat									
Russ Atkinson	1974	2	MA74	A01	A	SWABBY	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A02	A	YUM-YUM	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A03	A	ARCANUM	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A04	A	DUN SCOTUS	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A05	A	ZEPPO	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A06	A	REKROYWEN	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A07	A	DOT	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A08	A	HAYDN	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A09	A	JOSHUA	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A10	A	JULIAN	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A11	A	STEVE	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A12	A	EDNASANDE	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A13	A	THE MIKADO	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A14	A	TAFFY	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A15	A	D. STRASSE	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A16	A	CHI VALOR	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A17	A	CODEX	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A18	A	MARSHEN	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A19	A	NEON	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A20	A	DAL	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A21	A	MACHIAVELLI	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A22	A	DENDAI [DICK]	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A23	A	LEGERDEMAINIST	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A24	A	BUBBLES	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	A25	A	ALOHA	Eng	Aristocrat									
Russ Atkinson	1974	2	MA74	AC087	S	HILARY	Eng	Checkerboard									
Russ Atkinson	1974	2	MA74	AC088	S	GHOST	Eng	Horiz Two Sqr									
Russ Atkinson	1974	2	MA74	AC089	S	MARSHEN	Eng	Tri-square									
Russ Atkinson	1974	2	MA74	C01	C	TAFFY	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C02	C	JULIAN	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C03	C	DENDAI [DICK]	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C04	C	NEON	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C05	C	W.	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C06	C	YUM-YUM	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C07	C	EDNASANDE	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C08	C	BANANA BOAT	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C09	C	FIRE-O	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	C10	C	HUBBUBER	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	CSP	S	ARCANUM	Eng	Cryptarithm									
Russ Atkinson	1974	2	MA74	E01	E	NEON	Eng	Route Tramp									
Russ Atkinson	1974	2	MA74	E02	E	ZER-O	Eng	Tridigital									
Russ Atkinson	1974	2	MA74	E03	E	SEA BREEZE	Eng	Nihilist Tramp									
Russ Atkinson	1974	2	MA74	E04	E	NEONA	Eng	Railfence									
Russ Atkinson	1974	2	MA74	E05	E	SUNNY	Eng	Vigenere									
Russ Atkinson	1974	2	MA74	E06	E	MARSHEN	Eng	Key Phrase									
Russ Atkinson	1974	2	MA74	E07	E	ZER-O	Eng	CC Tramp									
Russ Atkinson	1974	2	MA74	E08	E	HILARY	Eng	Cadenus									
Russ Atkinson	1974	2	MA74	E09	E	CHUCK	Eng	Porta									
Russ Atkinson	1974	2	MA74	E10	E	RIG R. MORTIS	Eng	Amsco									
Russ Atkinson	1974	2	MA74	E11	E	D. STRASSE	Eng	Frac Morse									
Russ Atkinson	1974	2	MA74	E12	E	ARCANUM	Eng	Myszkowski									
Russ Atkinson	1974	2	MA74	E13	E	YUM-YUM	Eng	Playfair									
Russ Atkinson	1974	2	MA74	E14	E	D. STRASSE	Eng	Phillips									
Russ Atkinson	1974	2	MA74	E15	E	RIG R. MORTIS	Eng	Nicodemus									
Russ Atkinson	1974	2	MA74	E16	E	KSEA	Eng	Ragbaby									
Russ Atkinson	1974	2	MA74	E17	E	DENDAI [DICK]	Eng	Grille									
Russ Atkinson	1974	2	MA74	E18	E	DUMBO	Eng	Gromark									
Russ Atkinson	1974	2	MA74	E19	E	FRINKUS	Eng	Quagmire I									
Russ Atkinson	1974	2	MA74	E20	E	JE SAURAIS	Eng	Bifid									
Russ Atkinson	1974	2	MA74	E21	E	DOT	Eng	Trifid									
Russ Atkinson	1974	2	MA74	E22	E	B. NATURAL	Eng	Twin Bifids									
Russ Atkinson	1974	2	MA74	E23	E	HAYDN	Eng	Tri-square									
Russ Atkinson	1974	2	MA74	E24	E	MACHIAVELLI	Eng	Quagmire III									
Russ Atkinson	1974	2	MA74	E25	E	D D TRANSITION	Eng	Quagmire IV-m									
Russ Atkinson	1974	2	MA74	E26	E	ISLANDER	Eng	Conj Mat Bifid									
Russ Atkinson	1974	2	MA74	NN1	S	LEDGE	Eng	Slidefair									
Russ Atkinson	1974	2	MA74	NN2	S	LEDGE	Eng	Slidefair									
Russ Atkinson	1974	2	MA74	P01	P	THE MIKADO	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P02	P	NEON	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P03	P	ISLANDER	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P04	P	ZER-O	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P05	P	D. STRASSE	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P06	P	BERT	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P07	P	THE HAWK	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P08	P	STEVE	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P09	P	POP SICKLE	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	P10	P	A. CHARBY	Eng	Patristocrat									
Russ Atkinson	1974	2	MA74	X01	X	BaRGe	Fre	Aristocrat									
Russ Atkinson	1974	2	MA74	X02	X	THE MIKADO	Spa	Aristocrat									
Russ Atkinson	1974	2	MA74	X03	X	BRASSPOUNDER	Ger	Aristocrat									
Russ Atkinson	1974	2	MA74	X04	X	DENDAI [DICK]	Int	Aristocrat									
Russ Atkinson	1974	2	MA74	X05	X	MACHIAVELLI	Por	Aristocrat									
Russ Atkinson	1974	2	MA74	X06	X	THE PRO	Esp	Aristocrat									
Russ Atkinson	1974	2	MA74	X07	X	FIDDLE	Lat	Aristocrat									
Russ Atkinson	1974	2	MA74	X08	X	NEONA	Spa	Aristocrat									
Russ Atkinson	1974	2	MA74	X09	X	KSEA	Fre	Aristocrat									
Russ Atkinson	1974	2	MA74	X10	X	CLIFF	Ger	Aristocrat									
Russ Atkinson	1974	2	MA74	X11	X	D. STRASSE	Dut	Aristocrat									
Russ Atkinson	1974	2	MA74	X12	X	CODEX	Lat	Aristocrat									
Russ Atkinson	1974	2	MA74	XS1	S	DOUBLE DENDAI	Afr	Aristocrat									
Russ Atkinson	1974	2	MA74	XS2	S	DOUBLE DENDAI	Afr	Patristocrat									
Russ Atkinson	1974	3	MJ74	A01	A	POP SICKLE	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A02	A	THE MIKADO	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A03	A	SWABBY	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A04	A	YUM-YUM	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A05	A	L'AZOTE	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A06	A	MESCEYEV	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A07	A	SUNNY	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A08	A	DOT	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A09	A	ARCANUM	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A10	A	KOSHKA	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A11	A	EDNASANDE	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A12	A	JULIAN	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A13	A	HAYDN	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A14	A	BRASSPOUNDER	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A15	A	JOSHUA	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A16	A	FIDDLE	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A17	A	NEON	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A18	A	RIG R. MORTIS	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A19	A	THE SPIV	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A20	A	D. STRASSE	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A21	A	ALOHA	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A22	A	ISLANDER	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A23	A	PETROUSHKA	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A24	A	LOGONE BASETEN	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	A25	A	D D TRANSITION	Eng	Aristocrat									
Russ Atkinson	1974	3	MJ74	AC090	S	ARCANUM	Eng	IC Tramp									
Russ Atkinson	1974	3	MJ74	AC091	S	ALCHEMYST	Eng	Grandpre									
Russ Atkinson	1974	3	MJ74	AC092	S	DENDAI [DICK]	Eng	Conj Mat Bifid									
Russ Atkinson	1974	3	MJ74	C01	C	ARCANUM	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C02	C	D. STRASSE	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C03	C	POP SICKLE	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C04	C	ZER-O	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C05	C	BANANA BOAT	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C06	C	NEON	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C07	C	W.	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C08	C	YO TAMBIEN	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C09	C	HUBBUBER	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	C10	C	DENDAI [DICK]	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	CSP	S	CROTALUS	Eng	Cryptarithm									
Russ Atkinson	1974	3	MJ74	E01	E	THE HAWK	Eng	Key Phrase									
Russ Atkinson	1974	3	MJ74	E02	E	OCTOPUS	Eng	Checkerboard									
Russ Atkinson	1974	3	MJ74	E03	E	CHUCK	Eng	Railfence									
Russ Atkinson	1974	3	MJ74	E04	E	B. NATURAL	Eng	Portax									
Russ Atkinson	1974	3	MJ74	E05	E	FRINKUS	Eng	Amsco									
Russ Atkinson	1974	3	MJ74	E06	E	JULIAN	Eng	Vigenere									
Russ Atkinson	1974	3	MJ74	E07	E	RIG R. MORTIS	Eng	Nihilist Tramp									
Russ Atkinson	1974	3	MJ74	E08	E	SKIDS	Eng	IC Tramp									
Russ Atkinson	1974	3	MJ74	E09	E	B. NATURAL	Eng	Ragbaby									
Russ Atkinson	1974	3	MJ74	E10	E	MAJOR HOOPLE	Eng	Frac Morse									
Russ Atkinson	1974	3	MJ74	E11	E	DUBIOUS	Eng	Bifid									
Russ Atkinson	1974	3	MJ74	E12	E	LOGONE BASETEN	Eng	Myszkowski									
Russ Atkinson	1974	3	MJ74	E13	E	HAYDN	Eng	Slidefair									
